country,state,style,name,brewery
United States,Delaware,Fruit / Vegetable Beer,Tweason'ale,Dogfish Head Craft Brewery
United States,California,American Double / Imperial Stout,Black Xantus,Humboldt Brewing Co.
United States,Illinois,American Brown Ale,Christmas Ale,Goose Island Beer Co.
United States,Oklahoma,American Double / Imperial Stout,Prairie Apple Brandy Noir,Prairie Artisan Ales
United States,Massachusetts,American Pale Ale (APA),Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company
United States,Oregon,Herbed / Spiced Beer,Juniper Pale Ale,Rogue Ales
United States,California,American Pale Lager,Electric Ray: India Pale Lager (Beer Camp Across America),Sierra Nevada Brewing Co.
United States,Oregon,American IPA,Rogue Farms 7 Hop IPA,Rogue Ales
United States,Missouri,American Double / Imperial Stout,Sump Coffee Stout,Perennial Artisan Ales
United States,Oklahoma,Saison / Farmhouse Ale,Prairie Standard,Prairie Artisan Ales
United States,Washington,Fruit / Vegetable Beer,Pyramid Apricot Ale,"Pyramid Breweries, Inc."
United States,Florida,English Brown Ale,Cubano-Style Espresso Brown Ale,Cigar City Brewing
United States,California,American Pale Ale (APA),Equinox Ale,Lagunitas Brewing Company
United States,Maine,Saison / Farmhouse Ale,Allagash Saison Ale,Allagash Brewing Company
United States,Illinois,American Pale Ale (APA),Goose Green Line Pale Ale,Goose Island Beer Co.
United States,Colorado,Belgian Pale Ale,Blue Moon Belgian Pale Ale,Coors Brewing Company
United States,Illinois,English Brown Ale,Nut Brown Ale,Goose Island Beer Co.
United States,Illinois,American Pale Ale (APA),312 Urban Pale Ale,Goose Island Beer Co.
United States,New York,American Strong Ale,Gemini (Imperial Blended Ale),Southern Tier Brewing Company
United States,Utah,Pumpkin Ale,Punk'n Harvest Pumpkin Ale,Uinta Brewing Company
United States,Oregon,American Amber / Red Ale,St. Rogue Red,Rogue Ales
United States,Missouri,American Pale Ale (APA),Pale Ale,Boulevard Brewing Co.
United States,New York,Rye Beer,Righteous Ale,Sixpoint Brewery
United States,Utah,American Double / Imperial Stout,Labyrinth Black Ale,Uinta Brewing Company
United States,Colorado,Winter Warmer,Christmas Ale,Breckenridge Brewery
United States,Illinois,American Double / Imperial IPA,Hop Centric Double India Pale Ale,Two Brothers Brewing Company
United States,Massachusetts,American Pale Ale (APA),Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company
United States,Oregon,American Double / Imperial IPA,Blue Dot Double India Pale Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room
United States,New Hampshire,Dubbel,Smuttynose Winter Ale,Smuttynose Brewing Company
United States,Michigan,Oatmeal Stout,Dark Horse One Oatmeal Stout Ale,Dark Horse Brewing Company
United States,California,American IPA,Sierra Nevada Anniversary Ale (2007-2009),Sierra Nevada Brewing Co.
United States,Louisiana,American Brown Ale,Pecan Harvest Ale,Abita Brewing Co.
United States,Wisconsin,Fruit / Vegetable Beer,Redd's Apple Ale,Miller Brewing Co.
United States,Maryland,Gose,Stillwater / Westbrook Gose Gone Wild,Stillwater Artisanal Ales
United States,Wisconsin,American Wild Ale,Thumbprint Wild Sour Ale,New Glarus Brewing Company
United States,Wisconsin,American Pale Ale (APA),Hopalicious,Ale Asylum
United States,South Carolina,American Pale Ale (APA),One Claw Rye Pale Ale,Westbrook Brewing Co.
United States,Washington,American Strong Ale,Bourbon Abominable Winter Ale,Fremont Brewing Company
United States,Maryland,Kölsch,Tire Bite Golden Ale,Flying Dog Brewery
United States,Michigan,American Double / Imperial Stout,"Madrugada Obscura, Dark Dawn Stout",Jolly Pumpkin Artisan Ales
United States,Maryland,Extra Special / Strong Bitter (ESB),"Heavy Seas - Winter Storm (""Category 5"" Ale)",Heavy Seas Beer
United States,Oklahoma,Saison / Farmhouse Ale,Prairie Ale,Prairie Artisan Ales
United States,California,American Double / Imperial Stout,30th Anniversary - Fritz And Ken's Ale,Sierra Nevada Brewing Co.
United States,California,Belgian Strong Pale Ale,AleSmith Horny Devil,AleSmith Brewing Company
United States,California,Saison / Farmhouse Ale,Red Barn Ale,The Lost Abbey
United States,Vermont,American Pale Ale (APA),Citra Pale Ale,Hill Farmstead Brewery
United States,Michigan,Belgian Strong Dark Ale,Noel De Calabaza,Jolly Pumpkin Artisan Ales
United States,Oklahoma,American Double / Imperial Stout,Prairie Christmas Bomb! (2014),Prairie Artisan Ales
United States,Pennsylvania,American Pale Ale (APA),Philadelphia Pale Ale,Yards Brewing Co.
United States,Oregon,American Pale Ale (APA),Drifter Pale Ale,Widmer Brothers Brewing Company
United States,New York,American Porter,Imperial Biscotti Break Natale - Pretty Please With A Cherry On Top,Evil Twin Brewing
United States,Michigan,Witbier,Calabaza Blanca,Jolly Pumpkin Artisan Ales
United States,Maine,Tripel,Allagash Tripel Ale,Allagash Brewing Company
United States,Missouri,American Pale Ale (APA),Schlafly Dry-Hopped American Pale Ale,The Schlafly Tap Room
United States,Missouri,American Strong Ale,Chocolate Ale,Boulevard Brewing Co.
United States,Pennsylvania,English India Pale Ale (IPA),India Pale Ale,Yards Brewing Co.
United States,Colorado,American Blonde Ale,Hoptober Golden Ale,New Belgium Brewing
United States,Pennsylvania,Pumpkin Ale,Imperial Pumpkin Ale,Weyerbacher Brewing Co.
United States,Missouri,American Adjunct Lager,Rolling Rock Extra Pale,Latrobe Brewing Co.
United States,California,American Strong Ale,Hairy Eyeball Ale,Lagunitas Brewing Company
United States,Colorado,Pumpkin Ale,Blue Moon Harvest Moon Pumpkin Ale,Coors Brewing Company
United States,Maine,Pumpkin Ale,Shipyard Pumpkinhead Ale,Shipyard Brewing Co.
United States,Oregon,Winter Warmer,Jubelale,Deschutes Brewery
United States,Delaware,English Strong Ale,Immort Ale,Dogfish Head Craft Brewery
United States,Montana,American Brown Ale,Moose Drool Brown Ale,Big Sky Brewing Company
United States,Massachusetts,Pumpkin Ale,Samuel Adams Harvest Pumpkin Ale,Boston Beer Company (Samuel Adams)
United States,New Hampshire,American Brown Ale,Smuttynose Old Brown Dog Ale,Smuttynose Brewing Company
United States,Michigan,American Barleywine,Third Coast Old Ale,"Bell's Brewery, Inc."
United States,California,American Double / Imperial IPA,Green Flash Imperial India Pale Ale,Green Flash Brewing Co.
United States,California,American Amber / Red Ale,Red Rocket Ale,Bear Republic Brewing Co.
United States,California,American Amber / Red Ale,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company
United States,Wisconsin,American Pale Ale (APA),Moon Man No Coast Pale Ale,New Glarus Brewing Company
United States,California,English Pale Ale,Double Barrel Ale,Firestone Walker Brewing Co.
United States,New York,English India Pale Ale (IPA),Brooklyn East India Pale Ale,Brooklyn Brewery
United States,California,American Strong Ale,Lukcy Basartd Ale,Arrogant Brewing
United States,Pennsylvania,English Strong Ale,Thomas Jefferson's Tavern Ale,Yards Brewing Co.
United States,New York,American IPA,IPA (India Pale Ale),Southern Tier Brewing Company
United States,Pennsylvania,American Pale Ale (APA),Headwaters Pale Ale,Victory Brewing Company - Downingtown
United States,California,American Barleywine,Barleywine Style Ale,Green Flash Brewing Co.
United States,California,American Double / Imperial IPA,Steelhead Double India Pale Ale,Mad River Brewing Company
United States,New York,American IPA,Dundee India Pale Ale,Genesee Brewing Co. / Dundee Brewing Co.
United States,Maryland,American Pale Ale (APA),Doggie Style Classic Pale Ale,Flying Dog Brewery
United States,California,Dubbel,Lost & Found Abbey Ale,The Lost Abbey
United States,Massachusetts,Quadrupel (Quad),Baby Tree,Pretty Things Beer & Ale Project
United States,California,English Brown Ale,AleSmith Nut Brown Ale,AleSmith Brewing Company
United States,Pennsylvania,American IPA,Victory Harvest Ale,Victory Brewing Company - Downingtown
United States,Alaska,Old Ale,Alaskan Winter Ale,Alaskan Brewing Co.
United States,Wisconsin,Scotch Ale / Wee Heavy,Brewer's Reserve Bourbon Barrel Scotch Ale,Central Waters Brewing Co.
United States,California,Saison / Farmhouse Ale,Saison Bernice,Sante Adairius Rustic Ales
United States,Colorado,American Double / Imperial IPA,Lips Of Faith - Super India Pale Ale (Alpine Collaboration),New Belgium Brewing
United States,California,American Barleywine,30th Anniversary - Jack & Ken's Ale,Sierra Nevada Brewing Co.
United States,Colorado,Belgian Pale Ale,Blue Moon Rounder Belgian-Style Pale,Coors Brewing Company
United States,Maryland,Saison / Farmhouse Ale,Heavy Seas - Red Sky At Night (Saison Ale),Heavy Seas Beer
United States,Texas,American Blonde Ale,Fireman's #4,Real Ale Brewing Company
United States,Oregon,American Amber / Red Ale,Captain Sig's Northwestern Ale,Rogue Ales
United States,California,American Blonde Ale,805 Blonde Ale,Firestone Walker Brewing Co.
United States,Pennsylvania,American IPA,Hop Hog India Pale Ale,Lancaster Brewing Company
United States,Vermont,American Amber / Red Ale,Switchback Ale,Switchback Brewing Company
